CDL,lon,lat,scl,coastal,blue,green,red,rededge1,rededge2,rededge3,nir,nir08,nir09,swir16,swir22,bbox,year,tile,scene_date
Developed/Open Space,-90.58005163241063,35.57567866456724,10,1630,982,1428,1432,2188,3891,4459,4044,4759,8978,3477,2390,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.5797182455243,35.57566338844953,10,1630,938,1444,1532,2369,3962,4416,4052,4704,8978,3541,2378,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57938485877155,35.57564811139306,10,1867,939,1306,886,1974,4314,4819,4920,5102,10240,3169,2180,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57905147215237,35.57563283339776,10,1867,1032,1372,1466,2309,4035,4523,4320,4866,10240,3382,2277,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57871808566675,35.575617554463705,10,2113,1142,1336,1776,2664,4195,4635,4412,4895,10963,3577,2391,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57838469931471,35.57560227459083,10,2113,1148,1886,1940,2711,4169,4594,4544,4951,10963,3629,2475,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57805131309627,35.57558699377912,10,2012,1338,1824,1852,2639,4033,4689,4552,5080,10541,3637,2508,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57771792701142,35.575571712028655,10,2012,1642,1954,1914,2517,3940,4381,4280,4874,10541,3665,2511,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57738454106017,35.575556429339365,10,1904,1360,1878,2034,2726,3922,4273,4184,4708,10163,3579,2593,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57705115524256,35.57554114571131,10,1904,1282,1528,1636,2116,3549,4249,3676,4610,10163,3193,2594,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57671776955854,35.575525861144435,10,1822,1162,1586,1588,2056,3628,4304,3816,4671,9348,3227,2645,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57638438400818,35.57551057563878,10,1822,1398,1620,1716,2204,3656,4198,3844,4567,9348,3360,2514,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57605099859144,35.5754952891943,10,1539,1168,1700,1812,2414,3792,4175,3916,4474,7377,3494,2375,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57571761330836,35.57548000181106,10,1539,766,1168,1644,2734,4060,4392,3168,4482,7377,3637,2415,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57538422815892,35.57546471348902,10,1103,796,1360,1824,2826,4060,4394,3560,4500,6037,3664,2390,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57505084314316,35.575449424228175,10,1103,892,1758,1820,2269,3300,3623,3976,3895,6037,3302,2116,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57471745826106,35.57543413402852,10,1235,960,1766,1826,2219,3217,3796,3888,4127,6559,3266,2176,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57438407351265,35.57541884289005,10,1235,952,1664,1864,2383,3496,4107,3732,4484,6559,3373,2386,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57405068889791,35.57540355081283,10,1639,1009,1510,1532,2478,3737,4166,3800,4420,8162,3420,2404,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57371730441689,35.57538825779685,10,1639,1260,1472,1756,2462,3696,4145,3736,4588,8162,3552,2667,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57338392006956,35.575372963842014,10,2145,1496,2006,2192,2881,3921,4277,4080,4622,9284,3804,2804,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57305053585596,35.57535766894845,10,2145,1190,2160,2404,2834,3859,4357,3928,4763,9284,3959,3008,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57271715177605,35.57534237311605,10,1960,1566,2232,2220,2734,3727,4140,4020,4550,8045,3930,2924,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57238376782988,35.57532707634489,10,1960,1532,2122,2270,2897,3545,3669,3720,4082,8045,3952,3039,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57205038401746,35.5753117786349,10,1567,1618,2224,2526,3004,3631,3635,3752,4015,6033,3934,2961,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57171700033877,35.57529647998616,10,1567,1592,2326,2356,2838,3617,3759,3856,3540,6033,3926,3011,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57138361679384,35.575281180398626,10,1367,1642,2364,2226,2736,3580,3727,4020,3724,5414,3927,2948,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57105023338266,35.575265879872305,10,1367,1858,2348,2350,2784,3299,3316,4044,3340,5414,3871,3047,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57071685010526,35.575250578407186,10,1555,1620,2010,2240,2645,3205,3321,3784,3441,6213,3820,2975,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.57038346696163,35.57523527600329,10,1555,1750,2164,2172,2604,3208,3416,4016,3875,6213,3860,2884,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.5700500839518,35.575219972660584,10,1745,1350,1794,2044,2542,3272,3482,3380,3844,6861,3861,2960,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.56971670107573,35.57520466837913,10,1745,1352,1988,2276,2788,3663,4007,3508,4095,6861,4026,2900,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.5693833183335,35.5751893631589,10,1967,1190,1786,1936,2606,3445,3868,3500,4092,8017,4010,2912,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.56904993572506,35.575174056999806,10,1967,999,1588,1780,2170,2880,3262,3264,3894,8017,4113,3090,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.56871655325044,35.575158749902,5,2179,1384,1772,2204,2237,3128,3705,3320,4226,9166,4127,2864,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.56838317090966,35.57514344186537,10,2179,1328,1744,1948,2415,3326,3883,3240,4425,9166,4146,3084,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.5680497887027,35.57512813289001,10,2215,1322,1736,1962,2385,3320,3971,3264,4476,10532,4134,3060,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
